NAME,SMILES,Set,Obs,stdMW,nTA,SCBO,RBN,nDB,nH,nN,nO,nHM,nHet,H%,C%,N%,O%,X%,nCsp3,max_conj_path,nCIR,nIR,nFR,NRS,nRingAtoms,nR05,nR06,nR09,nR10,D/Dtr05,D/Dtr06,X3,X4,X2v,X4v,X2sol,X5sol,RDCHI,Eta_C,Eta_F,Eta_D_beta,nCp,nCs,nCt,nCrs,nCrt,nCar,nCbH,nCb-,nCconj,nR=Cs,nRCONHR,nArCONHR,nCONN,nArNHR,nArOR,nCR2X2,nCRX3,nArX,nPyrazoles,nPyridines,nHAcc,C-001,C-002,C-003,C-005,C-006,C-008,C-011,C-012,C-016,C-025,C-026,C-027,C-028,C-029,C-032,C-033,C-034,C-040,C-041,C-043,H-046,H-047,H-048,H-049,H-051,H-052,O-056,O-058,O-060,N-067,N-070,N-072,N-073,N-074,F-084,S-107,SsCH3,SssCH2,SdsCH,SaaCH,SsssCH,SdssC,SaasC,SaaaC,SssssC,SssNH,SsssN,SaaN,SaasN,SdO,SaaO,SsF,SsCl,NssCH2,NdsCH,NaaCH,NsssCH,NdssC,NaasC,NaaaC,NssNH,NsssN,NdsN,NaasN,NsOH,NssO,minssCH2,minaaCH,mindssC,minaasC,minssNH,minsssN,minsF,gmin,MaxsCH3,MaxssCH2,MaxdsCH,MaxaaCH,MaxsssCH,MaxdssC,MaxaasC,MaxssssC,MaxsNH2,MaxdsN,MaxaaN,MaxsOH,MaxdO,MaxssO,gmax,T(N..N),T(N..O),T(N..S),T(N..F),T(N..Cl),T(O..O),T(O..S),T(O..F),T(O..Cl),T(S..F),T(F..F),T(F..Cl),B01[C-O],B01[C-S],B01[N-N],B02[C-O],B02[C-S],B02[N-N],B02[N-O],B02[N-S],B02[O-O],B03[C-O],B03[N-N],B03[N-O],B03[N-S],B03[N-F],B03[O-O],B03[O-F],B03[F-F],B04[C-O],B04[N-N],B04[N-O],B04[N-S],B04[N-F],B04[O-O],B04[O-F],B04[F-F],B05[C-O],B05[C-F],B05[N-N],B05[N-O],B05[N-F],B05[O-O],B05[O-F],B06[C-O],B06[C-S],B06[C-F],B06[N-N],B06[N-O],B06[N-F],B06[O-O],B06[O-F],B06[F-F],B07[C-N],B07[C-O],B07[C-S],B07[N-O],B07[N-F],B07[O-O],B07[O-F],B08[C-N],B08[C-O],B08[C-S],B08[C-F],B08[N-O],B08[N-F],B08[O-F],B09[C-C],B09[C-N],B09[C-O],B09[C-F],B09[N-O],B09[N-F],B09[O-F],B10[C-C],B10[C-N],B10[C-O],B10[C-F],B10[N-F],B10[O-F],F01[C-N],F01[C-O],F01[C-S],F01[N-N],F01[N-O],F02[C-C],F02[C-N],F02[C-O],F02[C-S],F02[C-F],F02[N-N],F02[N-O],F02[N-S],F02[O-O],F02[F-F],F03[C-N],F03[C-O],F03[C-S],F03[C-F],F03[C-Cl],F03[N-N],F03[N-O],F03[N-S],F03[N-F],F03[N-Cl],F03[O-O],F03[O-F],F03[F-F],F04[C-C],F04[C-N],F04[C-O],F04[C-S],F04[C-F],F04[C-Cl],F04[N-N],F04[N-O],F04[N-S],F04[N-F],F04[O-O],F04[O-S],F04[O-F],F04[F-F],F05[C-N],F05[C-O],F05[C-S],F05[C-F],F05[C-Cl],F05[N-N],F05[N-O],F05[N-F],F05[O-O],F05[O-F],F05[S-F],F05[F-F],F06[C-C],F06[C-N],F06[C-O],F06[C-S],F06[C-F],F06[C-Cl],F06[N-N],F06[N-O],F06[N-F],F06[O-O],F06[O-S],F06[O-F],F07[C-N],F07[C-O],F07[C-S],F07[C-F],F07[C-Cl],F07[N-N],F07[N-O],F07[N-F],F07[O-O],F07[O-F],F07[S-F],F08[C-C],F08[C-N],F08[C-O],F08[C-S],F08[C-F],F08[C-Cl],F08[N-N],F08[N-O],F08[N-F],F08[O-O],F08[O-F],F09[C-N],F09[C-O],F09[C-S],F09[C-F],F09[C-Cl],F09[N-O],F09[N-F],F09[O-O],F09[O-F],F10[C-C],F10[C-N],F10[C-O],F10[C-S],F10[C-F],F10[C-Cl],F10[N-O],F10[N-F],F10[O-O],F10[O-F],F10[F-F],Uc,Hy,TPSA(NO),TPSA(Tot),LOGP99,ESOL,SAacc,SAdon,Vx,SAscore
413,O=S(=O)(CCN(CCS(=O)(=O)C(F)(F)F)CC1CCCO1)C(F)(F)F,Train,0,8.659668235,10,29,8,4,17,1,5,2,14,40.47619048,26.19047619,2.380952381,11.9047619,14.28571429,11,0,1,1,0,1,5,1,0,0,0,90.37489177,0,8.557243425,3.977445707,9.666169686,3.560726932,12.2615409,3.267857832,3.362567778,25.90334131,23.89617495,-10.25,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,-2.926150715,0,0,-0.49797997,0,0,0,-10.97108229,0,0.933101852,0,0,44.29198901,0,74.06544013,0,8,0,0,1,0,0,0,0,1,0,0,0,1,-1.379677107,0,0,0,0,0.933101852,12.34424002,-5.485541147,0,0.639093364,0,0,-0.49797997,0,0,-5.485541147,0,0,0,0,11.07299725,5.196865788,12.34424002,0,19,6,30,0,64,40,192,0,60,102,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2,4,0,0,9,3,11,2,0,0,0,0,2,6,1,4,0,6,0,0,1,2,0,0,0,12,0,5,4,2,4,6,0,0,4,0,0,0,0,0,0,0,10,4,0,0,0,0,6,0,0,0,0,8,0,8,2,12,0,0,0,0,0,2,0,0,6,6,12,0,0,0,0,4,0,0,5,0,12,0,6,0,0,0,0,4,6,0,0,0,18,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,2.321928095,-0.434703314,80.75,97.51,1.336599967,-3.215658657,192.5107855,0,394.6511628,4.158646812
415,Cn1cc(-c2nnnn2-c2cccc(C(F)(F)F)c2)c(C(F)(F)F)n1,Train,0,6.250016379,7,35,2,0,8,6,0,0,12,24.24242424,39.39393939,18.18181818,0,18.18181818,3,16,3,3,0,3,16,2,1,0,0,131.2828616,76.20405477,8.679848656,7.33966424,5.025192442,2.204428183,8.508184903,4.435982398,3.417393931,18.90188306,28.55414763,-2.5,2,0,0,0,0,10,4,2,0,0,0,0,0,0,0,0,2,0,1,0,10,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1.274952401,0,0,4.969368465,0,0,-3.170674734,0,-9.392056563,0,0,13.6204099,1.713101852,0,0,77.81823202,0,0,0,5,0,0,5,0,0,0,0,2,0,0,0,0.739573885,0,-1.237938909,0,0,12.83372137,-4.776596041,1.274952401,0,0,1.248740552,0,0,-0.132590231,-4.615460522,0,0,3.509432634,0,0,0,13.1056893,42,0,0,216,0,0,0,0,0,0,102,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,4,0,14,13,0,0,6,3,0,0,0,6,15,0,0,9,0,0,0,0,3,0,0,0,0,9,14,0,0,12,0,4,0,0,3,0,0,0,0,12,0,0,6,0,4,0,9,0,0,0,0,9,10,0,0,6,0,0,0,9,0,0,0,4,0,0,9,0,0,0,6,0,0,0,4,4,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,9,4.087462841,-0.51374028,61.42,61.42,3.100399837,-4.942660202,156.1676651,0,335.1993355,4.023750646
418,O=C(Nc1cccc(-c2csc(Nc3cccc(C(F)(F)F)c3)n2)c1)c1cc([N+](=O)[O-])cc(C(F)(F)F)c1,Train,0,6.793233511,9,55.5,6,3,14,4,3,1,14,26.92307692,46.15384615,7.692307692,5.769230769,11.53846154,2,11,4,4,0,4,23,1,3,0,0,111.525786,418.7539217,13.20348976,10.33643607,8.657924602,4.071250754,14.97216503,8.092869961,4.662552788,30.20823858,50.49470236,3,2,0,0,0,0,21,11,7,1,0,0,1,0,1,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,1,0,1,0,0,0,11,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,13.89334272,0,-0.998583381,-2.056283224,0,-9.401811263,5.202170406,0,4.329178464,0,34.69282358,0,78.25089347,0,0,0,12,0,1,9,0,2,0,0,0,0,0,0,0.337931713,-0.998583381,-1.339005826,2.404734777,0,12.94519845,-4.897430098,0,0,0,1.63281909,0,-0.998583381,0.491819465,-4.504381165,0,0,4.329178464,0,12.61655663,0,13.13843271,41,83,21,228,0,14,32,204,0,57,174,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,7,1,2,0,2,31,9,3,1,6,1,1,2,1,6,13,7,2,12,0,0,0,0,0,0,0,0,0,19,14,8,4,12,0,0,0,0,0,0,0,0,0,8,10,4,9,0,2,1,6,0,0,0,0,22,7,2,3,3,0,0,2,3,2,0,9,4,3,1,3,0,1,1,3,0,0,3,22,6,5,1,12,0,0,0,0,0,0,7,4,2,9,0,1,0,0,0,13,7,5,2,12,0,0,0,0,0,0,4.754887502,0.279566824,99.84,128.08,8.274999879,-7.673029808,218.4595517,36.02150137,555.0166113,3.759481295
420,CN(C)c1ccc(N/C(N)=N/c2nc(C(F)(F)F)cc(C(F)(F)F)n2)cc1,Train,0,6.646362521,9,35,4,1,14,6,0,0,12,34.14634146,36.58536585,14.63414634,0,14.63414634,4,8,2,2,0,2,12,0,2,0,0,0,204.6714619,8.559852697,6.368417168,5.49728835,1.901432756,9.384874386,3.72064653,3.645894747,20.95719616,31.67096205,-3.5,2,0,0,0,0,10,4,2,1,0,0,0,0,1,0,0,2,0,0,0,12,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3.641799637,0,0,6.454964748,0,-0.472174036,-3.317180326,0,-10.19958208,2.53966506,1.829729282,5.973630834,0,0,0,76.5984548,0,0,0,5,0,1,5,0,1,1,1,0,0,0,0,-0.19185355,-0.472174036,-1.771563977,2.53966506,1.829729282,12.76640913,-5.099791039,1.820899819,0,0,1.720382883,0,-0.472174036,0.867676785,-5.099791039,5.539831507,3.410860576,2.986815417,0,0,0,12.76640913,65,0,0,234,0,0,0,0,0,0,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,12,0,0,0,0,16,8,0,0,6,6,0,0,0,6,14,0,0,6,0,0,0,0,6,0,0,0,0,10,11,0,0,12,0,4,0,0,0,0,0,0,0,10,0,0,6,0,1,0,12,0,0,0,0,4,15,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,2,0,12,0,0,0,10,7,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,6,0,0,12,0,0,0,0,0,0,3.807354922,1.127968696,79.43,79.43,3.638499863,-4.871888504,194.1495203,50.90793816,400.0498339,3.667000399
421,CC(C)OC(=O)NC(Nc1ccccc1C(=O)O)(C(F)(F)F)C(F)(F)F,Train,0,6.881377229,11,31,6,2,14,2,4,0,12,35,35,5,10,15,6,8,1,1,0,1,6,0,1,0,0,0,104.5914863,7.876843623,6.731040551,5.300317883,1.852686022,9.259590931,2.859735914,3.216671061,25.22541347,30.74521619,-7.25,4,2,0,0,0,6,4,2,1,0,0,0,0,1,0,0,2,0,0,0,12,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,5,0,0,0,6,0,2,1,0,1,1,0,0,0,0,2.435703115,0,0,3.635339559,-0.999561865,-3.758275883,-1.85750105,0,-17.15550076,1.824939531,0,0,0,22.54190373,0,80.32344671,0,0,0,4,1,2,2,0,2,0,0,0,1,1,0,0.699546013,-1.990781368,-1.000465797,0.741198035,0,13.38724112,-6.090412415,1.217851558,0,0,1.109073287,-0.999561865,-1.767494515,-0.857035252,-4.974675926,0,0,0,8.954407936,11.48178713,4.30509897,13.38724112,2,32,0,36,0,36,0,144,0,0,48,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,4,5,0,0,0,13,6,4,0,6,1,2,0,2,6,6,7,0,6,0,0,0,0,12,0,0,0,0,10,5,10,0,12,0,0,4,0,0,0,0,0,9,4,6,0,12,0,0,0,0,0,12,0,0,10,3,8,0,24,0,0,2,0,0,0,0,0,8,0,18,0,0,0,0,0,12,0,7,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,3.169925001,1.164193966,87.66,87.66,3.7522,-4.292348771,229.7552661,78.70484453,381.6611296,3.609500478
422,CC(=O)N1CCN(C(=O)CNc2cc(C(F)(F)F)ccc2OCC(F)(F)F)CC1,Train,0,6.824301301,9,35,5,2,19,3,3,0,12,39.58333333,35.41666667,6.25,6.25,12.5,9,6,2,2,0,2,12,0,2,0,0,0,219.7046796,9.186569092,6.55863467,6.352956676,2.683291313,9.700569629,4.458046017,3.853205622,27.12497335,29.99592539,-9.5,3,0,0,0,0,6,3,3,0,0,0,0,0,1,1,0,2,0,0,0,12,1,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,15,0,0,3,0,0,2,1,0,1,2,0,0,0,0,1.397967707,-0.979029132,0,1.957708701,0,-0.599046302,-1.924813815,0,-9.390684605,2.428959357,2.961695314,0,0,23.56796624,0,75.8490781,0,6,0,3,0,2,3,0,1,2,0,0,0,1,-1.686510899,0.589956503,-0.46538411,-1.095481335,2.428959357,1.412990245,12.37272726,-4.716255297,1.397967707,0.323984068,0,0.770837461,0,-0.133662193,-0.37518802,-4.674429308,0,0,0,0,12.27514759,4.563531775,12.91029877,12,43,0,153,0,24,0,159,0,0,93,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8,4,0,0,0,16,9,5,0,6,0,2,0,0,6,2,6,0,6,0,2,2,0,0,0,0,3,0,13,8,7,0,9,0,0,0,0,0,0,0,0,0,7,4,0,9,0,0,2,3,0,0,0,0,14,2,4,0,9,0,1,1,3,1,0,3,5,7,0,12,0,0,0,0,1,0,0,11,4,3,0,9,0,0,1,3,0,3,2,1,0,6,0,1,3,0,3,6,3,3,0,12,0,0,0,0,0,0,3.169925001,-0.16574635,61.88,61.88,2.749099985,-3.836278919,175.3098,18.01075068,440.6644518,3.508039463
426,CCOC(=O)C(NC(=O)Nc1cccc(C)n1)(OCC(F)(F)F)C(F)(F)F,Train,0,6.879589567,10,32,7,2,15,3,4,0,13,35.71428571,33.33333333,7.142857143,9.523809524,14.28571429,7,6,1,1,0,1,6,0,1,0,0,0,113.4396159,7.973210902,6.325379969,5.046600935,1.757392622,8.776554072,3.16933412,3.43770975,25.39739073,30.90920212,-8.5,4,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,0,0,1,13,2,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,7,0,0,3,3,0,2,1,0,0,2,0,0,0,0,2.646508596,-3.066393662,0,4.150189285,0,-3.935412992,0.191531038,0,-15.33971899,2.95783116,0,3.781594545,0,23.6661099,0,77.41631832,0,2,0,3,0,2,2,0,2,0,0,0,0,2,-2.463988673,1.211095364,-2.255461651,-0.205319678,1.083787793,0,12.36932261,-5.762027353,1.521975212,-0.602404989,0,1.521975212,0,-1.679951342,0.396850716,-4.368612765,0,0,3.781594545,0,11.88800217,4.159932025,13.43611683,8,50,0,108,0,22,0,114,0,0,66,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,6,6,0,0,0,10,6,6,0,6,2,3,0,1,6,7,6,0,3,0,0,2,0,3,0,2,6,0,9,7,9,0,9,0,1,2,0,0,1,0,6,0,5,7,0,12,0,0,2,6,2,3,0,0,8,6,7,0,9,0,0,1,0,0,0,6,2,5,0,6,0,0,2,6,0,3,0,9,2,6,0,12,0,0,0,0,0,0,1,4,0,9,0,0,3,0,0,6,0,0,0,6,0,0,0,0,0,0,3.169925001,0.487122045,89.55,89.55,2.912119977,-3.701656943,214.8573404,36.02150137,398.2392027,4.20822684
429,COc1ccc(CNC(=O)C2CC(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)=NO2)cc1,Train,0,6.574346543,8,41,5,2,16,2,3,0,11,34.04255319,42.55319149,4.255319149,6.382978723,12.76595745,6,8,3,3,0,3,17,1,2,0,0,94.03569764,233.4311759,10.75214498,7.822539058,6.696591513,2.856437155,10.8603755,5.210450808,4.082022255,26.78454545,34.88806714,-4.5,2,2,0,2,0,12,7,5,1,0,1,0,0,0,1,0,2,0,0,0,11,0,1,0,1,1,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,13,0,0,2,0,0,1,2,0,0,1,0,1,0,0,1.507802929,-0.13208813,0,7.958387065,-1.169325974,-0.778901515,-1.95832131,0,-9.961959153,2.583576389,0,0,0,12.2768824,0,78.16046234,0,2,0,7,1,2,5,0,1,0,1,0,0,2,-0.270780264,0.026700242,-0.599454733,-1.465340492,2.583576389,0,13.02674372,-4.980979577,1.507802929,0.138692134,0,1.720087842,-1.169325974,-0.179446783,0.750913117,-4.980979577,0,3.537052891,0,0,12.2768824,5.025320754,13.02674372,4,25,0,90,0,20,0,186,0,0,66,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,3,4,0,0,1,25,5,6,0,6,0,1,0,0,6,6,5,0,12,0,0,1,0,0,0,1,0,0,18,5,6,0,12,0,1,1,0,0,0,0,0,0,6,7,0,18,0,0,0,0,0,0,0,0,13,3,9,0,6,0,0,1,6,0,0,0,5,6,0,6,0,0,0,0,0,6,0,10,5,5,0,6,0,0,0,0,1,0,1,2,0,0,0,0,6,1,6,13,0,2,0,6,0,1,0,0,0,0,3.906890596,-0.232799524,59.92,59.92,4.542200007,-5.393713066,174.5348709,18.01075068,454.833887,4.13921946
430,COc1cccc(C(=O)NC(=O)Nc2ccc(-n3nc(C(F)(F)F)cc3C(F)(F)F)cc2)c1,Train,0,6.376729571,9,45.5,4,2,14,4,3,0,13,29.78723404,42.55319149,8.510638298,6.382978723,12.76595745,3,11,3,3,0,3,17,1,2,0,0,110.4948609,253.7065337,11.16130282,8.858873824,6.509218105,2.70627602,11.75333972,5.770272458,4.227189235,25.66698343,41.83771401,-1.75,2,0,0,0,0,15,8,4,1,0,0,0,1,0,1,0,2,0,1,0,12,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,12,0,0,0,0,0,2,1,0,0,2,1,0,0,0,1.401022221,0,0,10.22118581,0,-1.681428097,-3.046140422,0,-10.15879769,4.345581735,0,3.012910586,0.110109337,24.16909508,0,77.97745761,0,0,0,9,0,2,6,0,2,0,0,1,0,1,0,-0.09345757,-0.939817321,-1.701426703,2.055420368,0,12.82978214,-5.089495759,1.401022221,0,0,1.597097723,0,-0.741610777,0.392754599,-5.069301934,0,0,3.012910586,0,12.12985879,4.982337171,13.16270373,28,81,0,156,0,16,0,231,0,0,66,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,7,4,0,1,0,21,12,3,0,6,1,3,0,0,6,12,7,0,6,0,0,0,0,6,0,0,0,0,18,9,7,0,9,0,0,1,0,6,1,0,0,0,6,6,0,15,0,1,1,0,1,0,0,0,12,6,7,0,12,0,1,0,0,0,0,0,5,3,0,9,0,1,2,0,1,0,0,13,4,4,0,3,0,1,1,3,0,0,5,5,0,3,0,1,3,0,0,10,4,4,0,3,0,1,3,0,3,0,4.321928095,0.342122185,85.25,85.25,4.880399935,-5.728934984,203.7349304,36.02150137,473.7043189,3.667805254
431,COc1ccccc1C(=O)NC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2C(F)(F)F)cc1,Train,0,6.376729571,9,45.5,4,2,14,4,3,0,13,29.78723404,42.55319149,8.510638298,6.382978723,12.76595745,3,11,3,3,0,3,17,1,2,0,0,109.5038171,252.29929,11.17899501,9.113381727,6.477545804,2.769358734,11.66902006,5.80152159,4.200700844,25.82502939,42.02871972,-1.75,2,0,0,0,0,15,8,4,1,0,0,0,1,0,1,0,2,0,1,0,12,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,12,0,0,0,0,0,2,1,0,0,2,1,0,0,0,1.342468093,0,0,10.3549666,0,-1.721579741,-3.272169959,0,-10.16173549,4.343857356,0,3.013503051,0.109008417,24.29181514,0,78.00669754,0,0,0,9,0,2,6,0,2,0,0,1,0,1,0,-0.094172258,-0.950848595,-1.702539989,2.054382953,0,12.83421145,-5.091107291,1.342468093,0,0,1.623718093,0,-0.770731147,0.22691712,-5.070628204,0,0,3.013503051,0,12.21698464,5.026502333,13.16802106,28,77,0,156,0,14,0,225,0,0,66,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,7,4,0,1,0,21,12,3,0,6,1,3,0,0,6,12,8,0,6,0,0,0,0,6,0,0,0,0,19,9,6,0,9,0,0,2,0,6,2,0,0,0,7,8,0,15,0,1,0,0,0,0,0,0,13,5,5,0,12,0,1,1,0,1,0,0,6,5,0,9,0,1,1,0,0,0,0,14,3,4,0,3,0,1,1,3,0,0,5,5,0,3,0,1,3,0,0,10,4,3,0,3,0,1,3,0,3,0,4.321928095,0.342122185,85.25,85.25,4.880399935,-5.728934984,203.7349304,36.02150137,473.7043189,3.660586633
432,Cc1cccc(C(=O)NC(=O)Nc2ccc(-n3nc(C(F)(F)F)cc3C(F)(F)F)cc2)c1,Train,0,6.384562844,9,44.5,3,2,14,4,2,0,12,30.43478261,43.47826087,8.695652174,4.347826087,13.04347826,3,11,3,3,0,3,17,1,2,0,0,106.4878434,245.1240662,10.73753913,8.636542845,6.646741969,2.728269052,11.58423774,5.548935691,4.143585338,25.29919098,39.67019251,-1.25,3,0,0,0,0,15,8,4,1,0,0,0,1,0,0,0,2,0,1,0,11,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,1,1,0,3,9,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1.763764389,0,0,10.7697292,0,-1.57634826,-2.475675854,0,-10.14074681,4.394308981,0,3.016119203,0.118985077,24.07043003,0,77.89276738,0,0,0,9,0,2,6,0,2,0,0,1,0,0,0,-0.086790903,-0.903996743,-1.693457953,2.086882953,0,12.81645393,-5.079899405,1.763764389,0,0,1.763764389,0,-0.672351517,0.804791637,-5.060847403,0,0,3.016119203,0,12.06948464,0,13.14780186,28,44,0,156,0,4,0,138,0,0,66,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,7,2,0,1,0,22,12,1,0,6,1,3,0,0,6,12,5,0,6,0,0,0,0,6,0,0,0,0,18,9,5,0,9,0,0,1,0,6,1,0,0,0,7,7,0,15,0,1,0,0,0,0,0,0,13,5,5,0,12,0,1,0,0,0,0,0,6,4,0,9,0,1,1,0,0,0,0,14,3,2,0,3,0,1,1,3,0,0,5,3,0,3,0,1,3,0,0,10,4,2,0,3,0,1,3,0,3,0,4.321928095,0.331869722,76.02,76.02,5.180219956,-6.100404952,192.7350425,36.02150137,463.9534884,3.743838365
438,N#CCC(CNc1ncc(C(F)(F)F)cc1Cl)OC(=O)c1cccc(C(F)(F)F)c1,Train,0,7.444852426,9,40,7,1,12,3,2,1,12,28.57142857,42.85714286,7.142857143,4.761904762,16.66666667,5,8,2,2,0,2,12,0,2,0,0,0,240.5424419,9.663703056,7.161569718,6.30840149,2.465914903,10.50327284,4.687754584,3.933928453,25.0202951,34.65105269,-2.25,2,2,0,0,0,11,4,2,1,0,0,0,0,1,0,0,2,1,0,1,11,0,1,0,0,1,1,0,0,0,3,1,1,0,1,0,0,0,2,0,0,0,8,0,1,2,0,0,1,1,0,1,0,0,1,0,0,0,-0.604859773,0,4.717689632,-1.127590585,-1.102198641,-2.998928147,0,-9.297725504,2.550232111,0,3.541268782,0,12.14892922,0,76.21724268,5.753419822,2,0,6,1,1,5,0,1,0,0,0,0,1,-0.337345955,0.543807175,-1.102198641,-1.067037888,2.550232111,0,12.63780829,-4.657840247,0,-0.267513818,0,1.113811033,-1.127590585,-1.102198641,-0.150255351,-4.639885258,0,0,3.541268782,0,12.14892922,5.042073649,12.76793927,14,30,0,153,14,2,0,96,14,0,147,51,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,5,3,0,0,0,20,5,4,0,6,1,0,0,1,6,7,6,0,12,1,0,1,0,0,2,0,0,0,13,5,7,0,9,3,0,1,0,3,0,0,0,0,4,6,0,9,1,1,2,0,0,0,0,0,15,6,3,0,0,1,0,1,3,0,0,6,6,2,0,6,2,1,1,0,0,0,0,11,8,3,0,9,1,0,0,0,0,0,5,1,0,6,2,0,3,0,3,9,3,1,0,9,2,0,3,0,0,0,3.906890596,-0.183844355,75.01,75.01,5.323779915,-5.580382512,191.7611305,18.01075068,446.0797342,4.184695219
